"subject","item","sound","block_contrast","type","block_G","response","adjusted_response_time"
4,91,"-0.5","block3","Vowel","block3","1",-202.5
4,92,"0.5","block3","Consonant","block3","0",188.5
4,93,"0.5","block3","Consonant","block3","1",117.5
4,94,"-0.5","block3","Vowel","block3","1",-456.5
4,95,"0.5","block3","Consonant","block3","1",-393.5
4,96,"-0.5","block3","Vowel","block3","1",-79.5
5,1,"0.5","block1","Consonant","block1","1",566.25
5,2,"-0.5","block1","Vowel","block1","1",1825.25
5,3,"-0.5","block1","Vowel","block1","1",4686.25
5,4,"0.5","block1","Consonant","block1","1",1501.25
5,5,"0.5","block1","Consonant","block1","1",57.25
5,6,"-0.5","block1","Vowel","block1","1",652.25
5,7,"0.5","block1","Consonant","block1","0",3088.25
5,8,"-0.5","block1","Vowel","block1","1",2.25
5,9,"-0.5","block1","Vowel","block1","1",-44.75
5,10,"0.5","block1","Consonant","block1","1",386.25
5,11,"-0.5","block1","Vowel","block1","1",1177.25
5,12,"0.5","block1","Consonant","block1","1",531.25
5,13,"0.5","block1","Consonant","block1","1",-57.75
5,14,"-0.5","block1","Vowel","block1","1",3140.25
5,15,"-0.5","block1","Vowel","block1","1",-27.75
5,16,"0.5","block1","Consonant","block1","1",-697.75
5,17,"-0.5","block1","Vowel","block1","1",810.25
5,18,"0.5","block1","Consonant","block1","1",-586.75
5,19,"0.5","block1","Consonant","block1","1",-103.75
5,20,"-0.5","block1","Vowel","block1","1",321.25
5,21,"0.5","block1","Consonant","block1","1",-418.75
5,22,"-0.5","block1","Vowel","block1","1",-70.75
5,23,"-0.5","block1","Vowel","block1","1",-450.75
5,24,"0.5","block1","Consonant","block1","1",-1026.75
5,25,"0.5","block1","Consonant","block1","1",-39.75
5,26,"-0.5","block1","Vowel","block1","1",-806.75
5,27,"-0.5","block1","Vowel","block1","1",-953.75
5,28,"0.5","block1","Consonant","block1","1",-76.75
5,29,"-0.5","block1","Vowel","block1","1",514.25
5,30,"0.5","block1","Consonant","block1","1",-840.75
5,31,"0.5","block1","Consonant","block1","1",-811.75
5,32,"-0.5","block1","Vowel","block1","1",-386.75
5,33,"-0.5","block2","Vowel","block2","1",310.875
5,34,"0.5","block2","Consonant","block2","1",368.875
5,35,"-0.5","block2","Vowel","block2","1",50.875
5,36,"0.5","block2","Consonant","block2","1",15.875
5,37,"0.5","block2","Consonant","block2","1",274.875
5,38,"-0.5","block2","Vowel","block2","1",809.875
5,39,"-0.5","block2","Vowel","block2","1",-19.125
5,40,"0.5","block2","Consonant","block2","0",-555.125
5,41,"0.5","block2","Consonant","block2","1",186.875
5,42,"-0.5","block2","Vowel","block2","1",-314.125
5,43,"0.5","block2","Consonant","block2","1",176.875
5,44,"-0.5","block2","Vowel","block2","1",-394.125
5,45,"-0.5","block2","Vowel","block2","1",1492.875
5,46,"0.5","block2","Consonant","block2","1",-502.125
5,47,"-0.5","block2","Vowel","block2","1",-464.125
5,48,"0.5","block2","Consonant","block2","1",-396.125
5,49,"-0.5","block2","Vowel","block2","1",-558.125
5,50,"0.5","block2","Consonant","block2","1",-427.125
5,51,"-0.5","block2","Vowel","block2","1",-441.125
5,52,"0.5","block2","Consonant","block2","1",-452.125
5,53,"-0.5","block2","Vowel","block2","1",-562.125
5,54,"0.5","block2","Consonant","block2","1",-397.125
5,55,"0.5","block2","Consonant","block2","1",202.875
5,56,"-0.5","block2","Vowel","block2","1",-521.125
5,57,"0.5","block2","Consonant","block2","1",-532.125
5,58,"-0.5","block2","Vowel","block2","1",-474.125
5,59,"-0.5","block2","Vowel","block2","1",152.875
5,60,"0.5","block2","Consonant","block2","1",-479.125
5,61,"0.5","block2","Consonant","block2","1",-153.125
5,62,"-0.5","block2","Vowel","block2","1",0.875
5,63,"-0.5","block2","Vowel","block2","1",-103.125
5,64,"0.5","block2","Consonant","block2","1",-538.125
5,65,"-0.5","block3","Vowel","block3","1",1037.125
5,66,"0.5","block3","Consonant","block3","1",-118.875
5,67,"0.5","block3","Consonant","block3","1",-97.875
5,68,"-0.5","block3","Vowel","block3","1",-461.875
5,69,"0.5","block3","Consonant","block3","1",-437.875
5,70,"-0.5","block3","Vowel","block3","1",-433.875
5,71,"0.5","block3","Consonant","block3","1",-492.875
5,72,"-0.5","block3","Vowel","block3","1",-423.875
5,73,"0.5","block3","Consonant","block3","1",303.125
5,74,"-0.5","block3","Vowel","block3","1",-476.875
5,75,"-0.5","block3","Vowel","block3","1",-262.875
5,76,"0.5","block3","Consonant","block3","1",-320.875
5,77,"0.5","block3","Consonant","block3","1",-415.875
5,78,"-0.5","block3","Vowel","block3","1",-362.875
5,79,"-0.5","block3","Vowel","block3","1",-344.875
5,80,"0.5","block3","Consonant","block3","1",-403.875
5,81,"-0.5","block3","Vowel","block3","1",-503.875
5,82,"0.5","block3","Consonant","block3","1",-439.875
5,83,"-0.5","block3","Vowel","block3","1",-384.875
5,84,"0.5","block3","Consonant","block3","1",-484.875
5,85,"-0.5","block3","Vowel","block3","1",-487.875
5,86,"0.5","block3","Consonant","block3","1",-438.875
5,87,"-0.5","block3","Vowel","block3","1",1821.125
5,88,"0.5","block3","Consonant","block3","1",111.125
5,89,"0.5","block3","Consonant","block3","1",-507.875
5,90,"-0.5","block3","Vowel","block3","1",-400.875
5,91,"-0.5","block3","Vowel","block3","1",235.125
5,92,"0.5","block3","Consonant","block3","1",111.125
5,93,"0.5","block3","Consonant","block3","1",321.125
5,94,"-0.5","block3","Vowel","block3","1",-307.875
5,95,"0.5","block3","Consonant","block3","1",-353.875
5,96,"-0.5","block3","Vowel","block3","1",-38.875
6,1,"0.5","block1","Consonant","block1","1",716.25
6,2,"-0.5","block1","Vowel","block1","1",-304.75
6,3,"-0.5","block1","Vowel","block1","0",-194.75
6,4,"0.5","block1","Consonant","block1","1",-524.75
6,5,"0.5","block1","Consonant","block1","1",874.25
6,6,"-0.5","block1","Vowel","block1","1",95.25
6,7,"0.5","block1","Consonant","block1","1",4555.25
6,8,"-0.5","block1","Vowel","block1","1",126.25
6,9,"-0.5","block1","Vowel","block1","1",1853.25
6,10,"0.5","block1","Consonant","block1","1",2193.25
6,11,"-0.5","block1","Vowel","block1","1",333.25
6,12,"0.5","block1","Consonant","block1","0",963.25
6,13,"0.5","block1","Consonant","block1","0",525.25
6,14,"-0.5","block1","Vowel","block1","1",1853.25
6,15,"-0.5","block1","Vowel","block1","1",1416.25
6,16,"0.5","block1","Consonant","block1","1",2295.25
6,17,"-0.5","block1","Vowel","block1","1",613.25
6,18,"0.5","block1","Consonant","block1","1",313.25
6,19,"0.5","block1","Consonant","block1","1",764.25
6,20,"-0.5","block1","Vowel","block1","1",-375.75
6,21,"0.5","block1","Consonant","block1","1",1254.25
6,22,"-0.5","block1","Vowel","block1","1",-149.75
6,23,"-0.5","block1","Vowel","block1","1",-195.75
6,24,"0.5","block1","Consonant","block1","1",24.25
6,25,"0.5","block1","Consonant","block1","1",2762.25
6,26,"-0.5","block1","Vowel","block1","1",-488.75
6,27,"-0.5","block1","Vowel","block1","1",-511.75
6,28,"0.5","block1","Consonant","block1","1",1653.25
6,29,"-0.5","block1","Vowel","block1","1",-217.75
6,30,"0.5","block1","Consonant","block1","1",-286.75
6,31,"0.5","block1","Consonant","block1","0",-156.75
6,32,"-0.5","block1","Vowel","block1","1",157.25
6,33,"-0.5","block2","Vowel","block2","1",47.25
6,34,"0.5","block2","Consonant","block2","0",199.25
6,35,"-0.5","block2","Vowel","block2","1",-230.75
6,36,"0.5","block2","Consonant","block2","1",510.25
6,37,"0.5","block2","Consonant","block2","1",-249.75
6,38,"-0.5","block2","Vowel","block2","1",-400.75
6,39,"-0.5","block2","Vowel","block2","1",60.25
6,40,"0.5","block2","Consonant","block2","1",-139.75
6,41,"0.5","block2","Consonant","block2","1",-240.75
6,42,"-0.5","block2","Vowel","block2","1",-399.75
6,43,"0.5","block2","Consonant","block2","1",-449.75
6,44,"-0.5","block2","Vowel","block2","0",-459.75
6,45,"-0.5","block2","Vowel","block2","1",-90.75
6,46,"0.5","block2","Consonant","block2","0",998.25
6,47,"-0.5","block2","Vowel","block2","0",-155.75
6,48,"0.5","block2","Consonant","block2","1",-301.75
6,49,"-0.5","block2","Vowel","block2","1",-370.75
6,50,"0.5","block2","Consonant","block2","0",359.25
6,51,"-0.5","block2","Vowel","block2","1",30.25
6,52,"0.5","block2","Consonant","block2","1",79.25
6,53,"-0.5","block2","Vowel","block2","1",-501.75
6,54,"0.5","block2","Consonant","block2","1",-501.75
6,55,"0.5","block2","Consonant","block2","0",239.25
6,56,"-0.5","block2","Vowel","block2","1",NA
6,57,"0.5","block2","Consonant","block2","0",995.25
