subject,condition,block,group,item,word,phoneme,accuracy,raw_rt,means,adjusted_rt,new_rt,new_rt_3_5
32,target1,block2,14,67,think,th,1,4638,1495.25,NA,NA,NA
32,target1,block2,15,74,sigh,s,0,3641,1495.25,NA,NA,NA
34,target1,block2,9,42,think,th,0,3168,2019.857143,NA,NA,NA
34,filler,block2,9,45,buy,buy,1,7443,2019.857143,NA,NA,NA
34,target1,block2,10,46,growth,th,0,3213,2019.857143,NA,NA,NA
34,target2,block2,10,48,band,no,0,3004,2019.857143,NA,NA,NA
34,target1,block2,12,59,sought,s,0,7097,2019.857143,NA,NA,NA
34,target1,block2,13,64,growth,th,1,NA,2019.857143,NA,NA,NA
34,filler,block2,13,65,cheek,cheek,1,3068,2019.857143,NA,NA,NA
34,target1,block2,14,68,sought,s,1,4630,2019.857143,NA,NA,NA
34,target1,block2,15,71,path,th,0,4069,2019.857143,NA,NA,NA
34,target1,block2,16,76,miss,s,0,NA,2019.857143,NA,NA,NA
34,target2,block2,16,77,battle,no,1,NA,2019.857143,NA,NA,NA
34,target2,block2,16,78,block,o,1,NA,2019.857143,NA,NA,NA
34,target1,block2,16,79,theme,th,1,NA,2019.857143,NA,NA,NA
34,filler,block2,16,80,revise,revise,0,NA,2019.857143,NA,NA,NA
35,target2,block2,10,47,pot,o,1,5660,1573.285714,NA,NA,NA
35,target1,block2,11,51,seem,s,1,9501,1573.285714,NA,NA,NA
35,target1,block2,11,53,sigh,s,1,7254,1573.285714,NA,NA,NA
35,filler,block2,11,55,dense,dense,0,NA,1573.285714,NA,NA,NA
35,target1,block2,12,57,miss,s,1,NA,1573.285714,NA,NA,NA
35,target1,block2,12,59,sought,s,0,3335,1573.285714,NA,NA,NA
35,target1,block2,13,62,worth,th,0,7263,1573.285714,NA,NA,NA
35,target2,block2,13,63,band,no,1,NA,1573.285714,NA,NA,NA
35,filler,block2,13,65,check,check,0,NA,1573.285714,NA,NA,NA
35,target1,block2,15,74,thigh,th,1,NA,1573.285714,NA,NA,NA
36,target1,block2,9,44,pass,s,0,3410,1691.25,NA,NA,NA
36,target1,block2,11,53,sigh,s,1,3047,1691.25,NA,NA,NA
36,target1,block2,14,68,sought,s,1,3768,1691.25,NA,NA,NA
36,target1,block2,16,76,miss,s,0,3506,1691.25,NA,NA,NA
37,target1,block2,9,42,think,th,0,4400,1755.25,NA,NA,NA
37,target2,block2,11,54,cop,o,1,3357,1755.25,NA,NA,NA
3,target1,block3,23,114,worth,th,1,4691,1049,NA,NA,NA
10,target1,block3,23,111,think,th,1,4319,1249.625,NA,NA,NA
10,target1,block3,24,116,seem,s,1,3528,1249.625,NA,NA,NA
11,filler,block3,17,85,froze,froze,1,4224,1153.571429,NA,NA,NA
13,target1,block3,17,83,myth,th,1,3047,1237.125,NA,NA,NA
13,target1,block3,19,91,thought,th,1,4087,1237.125,NA,NA,NA
13,target1,block3,22,109,sought,s,1,3047,1237.125,NA,NA,NA
13,target2,block3,23,112,cop,o,1,3679,1237.125,NA,NA,NA
13,target1,block3,24,116,seem,s,1,4146,1237.125,NA,NA,NA
15,filler,block3,23,115,men,men,1,3167,1118.142857,NA,NA,NA
16,target2,block3,18,87,cop,o,0,3590,1081.625,NA,NA,NA
16,target2,block3,22,108,bottle,o,1,5984,1081.625,NA,NA,NA
23,target1,block3,17,82,thigh,th,1,3724,1181.75,NA,NA,NA
23,target2,block3,23,112,cop,o,1,4082,1181.75,NA,NA,NA
24,target1,block3,19,91,sought,s,0,4395,1431.25,NA,NA,NA
25,target1,block3,18,86,gross,s,1,3070,1347.375,NA,NA,NA
26,target1,block3,22,109,thought,th,0,3537,1260.625,NA,NA,NA
26,target1,block3,23,111,sink,s,0,NA,1260.625,NA,NA,NA
27,target1,block3,18,86,gross,s,1,3259,1698.875,NA,NA,NA
27,target2,block3,22,108,battle,no,0,8829,1698.875,NA,NA,NA
27,target2,block3,23,113,pot,o,1,6368,1698.875,NA,NA,NA
28,filler,block3,22,110,tide,tide,1,3271,1672.285714,NA,NA,NA
29,target2,block3,17,84,band,no,0,3993,1307.142857,NA,NA,NA
29,target2,block3,18,87,cop,o,0,3394,1307.142857,NA,NA,NA
29,target2,block3,21,101,bond,o,0,3072,1307.142857,NA,NA,NA
29,target2,block3,21,103,bod,o,0,5160,1307.142857,NA,NA,NA
29,target2,block3,22,106,map,no,1,3043,1307.142857,NA,NA,NA
29,target2,block3,22,108,battle,no,0,3420,1307.142857,NA,NA,NA
29,filler,block3,22,110,tide,tide,1,3600,1307.142857,NA,NA,NA
30,target1,block3,18,88,sink,s,1,3424,1565.428571,NA,NA,NA
30,target1,block3,20,99,worth,th,0,3272,1565.428571,NA,NA,NA
30,filler,block3,22,110,tide,tide,1,3232,1565.428571,NA,NA,NA
30,target2,block3,24,119,battle,no,1,3193,1565.428571,NA,NA,NA
31,target1,block3,18,88,sink,s,1,5289,1444.142857,NA,NA,NA
31,target1,block3,22,107,thigh,th,0,7468,1444.142857,NA,NA,NA
31,target1,block3,22,109,thought,th,0,4719,1444.142857,NA,NA,NA
31,target1,block3,23,114,worse,s,0,3146,1444.142857,NA,NA,NA
31,filler,block3,23,115,men,men,1,4688,1444.142857,NA,NA,NA
31,target2,block3,24,117,faster,no,1,4423,1444.142857,NA,NA,NA
32,target1,block3,23,114,worse,s,0,4279,1011.375,NA,NA,NA
33,target2,block3,22,106,mop,o,0,NA,861.875,NA,NA,NA
34,target1,block3,17,83,miss,s,0,3782,1895.125,NA,NA,NA
34,target1,block3,22,109,thought,th,0,3736,1895.125,NA,NA,NA
34,target2,block3,23,113,pat,no,0,3425,1895.125,NA,NA,NA
34,target1,block3,23,114,worth,th,1,3351,1895.125,NA,NA,NA
34,target2,block3,24,119,battle,no,1,8424,1895.125,NA,NA,NA
35,target2,block3,17,81,bod,o,1,3841,938.1428571,NA,NA,NA
35,target1,block3,18,86,gross,s,1,NA,938.1428571,NA,NA,NA
35,target1,block3,18,88,sink,s,1,7843,938.1428571,NA,NA,NA
35,target2,block3,20,97,faster,no,0,3430,938.1428571,NA,NA,NA
35,target2,block3,21,103,bod,o,0,6790,938.1428571,NA,NA,NA
35,filler,block3,22,110,tide,tide,1,3400,938.1428571,NA,NA,NA
35,target1,block3,23,114,worse,s,0,NA,938.1428571,NA,NA,NA
36,target1,block3,18,86,gross,s,1,4616,1608.25,NA,NA,NA
36,target2,block3,20,98,mop,o,1,3178,1608.25,NA,NA,NA
36,target1,block3,20,99,worse,s,1,3500,1608.25,NA,NA,NA
36,target1,block3,21,104,growth,th,1,3573,1608.25,NA,NA,NA
36,target1,block3,22,109,sought,s,1,5012,1608.25,NA,NA,NA
37,target2,block3,22,108,battle,no,0,3391,1704.125,NA,NA,NA
37,target1,block3,23,114,worse,s,0,3238,1704.125,NA,NA,NA
37,target2,block3,24,117,faster,no,1,3135,1704.125,NA,NA,NA
37,target1,block3,24,118,path,th,0,7275,1704.125,NA,NA,NA
3,target1,block4,25,122,sing,s,1,3731,898.5,NA,NA,NA
3,target1,block4,26,126,mouse,s,1,4681,898.5,NA,NA,NA
3,target1,block4,26,129,forth,th,1,3680,898.5,NA,NA,NA
4,target1,block4,25,122,thing,th,0,3177,1087.25,NA,NA,NA
