"subject","item","sound","block","type","block_G","response","adjusted_response_time"
7,27,"-0.5","0.5","Vowel","block1","1",-816.5
7,28,"0.5","0.5","Consonant","block1","1",-661.5
7,29,"-0.5","0.5","Vowel","block1","1",-820.5
7,30,"0.5","0.5","Consonant","block1","1",-969.5
7,31,"0.5","0.5","Consonant","block1","1",-523.5
7,32,"-0.5","0.5","Vowel","block1","1",-1064.5
7,33,"-0.5","-0.5","Vowel","block4","1",209.75
7,34,"0.5","-0.5","Consonant","block4","1",-273.25
7,35,"-0.5","-0.5","Vowel","block4","1",-389.25
7,36,"0.5","-0.5","Consonant","block4","1",2252.75
7,37,"0.5","-0.5","Consonant","block4","1",506.75
7,38,"-0.5","-0.5","Vowel","block4","1",584.75
7,39,"-0.5","-0.5","Vowel","block4","0",3007.75
7,40,"0.5","-0.5","Consonant","block4","0",660.75
7,41,"0.5","-0.5","Consonant","block4","1",1010.75
7,42,"-0.5","-0.5","Vowel","block4","1",-176.25
7,43,"0.5","-0.5","Consonant","block4","0",1655.75
7,44,"-0.5","-0.5","Vowel","block4","1",586.75
7,45,"-0.5","-0.5","Vowel","block4","1",1177.75
7,46,"0.5","-0.5","Consonant","block4","1",209.75
7,47,"-0.5","-0.5","Vowel","block4","1",566.75
7,48,"0.5","-0.5","Consonant","block4","1",-513.25
7,49,"-0.5","-0.5","Vowel","block4","1",183.75
7,50,"0.5","-0.5","Consonant","block4","1",-381.25
7,51,"-0.5","-0.5","Vowel","block4","1",-354.25
7,52,"0.5","-0.5","Consonant","block4","1",-371.25
7,53,"-0.5","-0.5","Vowel","block4","1",-51.25
7,54,"0.5","-0.5","Consonant","block4","1",818.75
7,55,"0.5","-0.5","Consonant","block4","1",809.75
7,56,"-0.5","-0.5","Vowel","block4","1",219.75
7,57,"0.5","-0.5","Consonant","block4","1",232.75
7,58,"-0.5","-0.5","Vowel","block4","1",-419.25
7,59,"-0.5","-0.5","Vowel","block4","1",-92.25
7,60,"0.5","-0.5","Consonant","block4","0",183.75
7,61,"0.5","-0.5","Consonant","block4","0",-20.25
7,62,"-0.5","-0.5","Vowel","block4","1",1349.75
7,63,"-0.5","-0.5","Vowel","block4","1",607.75
7,64,"0.5","-0.5","Consonant","block4","1",-162.25
8,1,"0.5","0.5","Consonant","block1","1",361.75
8,2,"-0.5","0.5","Vowel","block1","1",293.75
8,3,"-0.5","0.5","Vowel","block1","1",NA
8,4,"0.5","0.5","Consonant","block1","1",-290.25
8,5,"0.5","0.5","Consonant","block1","1",NA
8,6,"-0.5","0.5","Vowel","block1","1",117.75
8,7,"0.5","0.5","Consonant","block1","1",-172.25
8,8,"-0.5","0.5","Vowel","block1","1",457.75
8,9,"-0.5","0.5","Vowel","block1","1",731.75
8,10,"0.5","0.5","Consonant","block1","1",726.75
8,11,"-0.5","0.5","Vowel","block1","1",295.75
8,12,"0.5","0.5","Consonant","block1","0",453.75
8,13,"0.5","0.5","Consonant","block1","1",871.75
8,14,"-0.5","0.5","Vowel","block1","0",49.75
8,15,"-0.5","0.5","Vowel","block1","1",1240.75
8,16,"0.5","0.5","Consonant","block1","1",209.75
8,17,"-0.5","0.5","Vowel","block1","1",-124.25
8,18,"0.5","0.5","Consonant","block1","1",-325.25
8,19,"0.5","0.5","Consonant","block1","1",-149.25
8,20,"-0.5","0.5","Vowel","block1","1",32.75
8,21,"0.5","0.5","Consonant","block1","1",-77.25
8,22,"-0.5","0.5","Vowel","block1","1",-139.25
8,23,"-0.5","0.5","Vowel","block1","1",-5.25
8,24,"0.5","0.5","Consonant","block1","1",-152.25
8,25,"0.5","0.5","Consonant","block1","1",362.75
8,26,"-0.5","0.5","Vowel","block1","1",424.75
8,27,"-0.5","0.5","Vowel","block1","1",-226.25
8,28,"0.5","0.5","Consonant","block1","1",-4.25
8,29,"-0.5","0.5","Vowel","block1","1",119.75
8,30,"0.5","0.5","Consonant","block1","1",-288.25
8,31,"0.5","0.5","Consonant","block1","1",-165.25
8,32,"-0.5","0.5","Vowel","block1","1",-155.25
8,33,"-0.5","-0.5","Vowel","block4","1",1789.125
8,34,"0.5","-0.5","Consonant","block4","1",-109.875
8,35,"-0.5","-0.5","Vowel","block4","1",706.125
8,36,"0.5","-0.5","Consonant","block4","1",-58.875
8,37,"0.5","-0.5","Consonant","block4","1",-37.875
8,38,"-0.5","-0.5","Vowel","block4","1",53.125
